Sensor,Model,RMSE,MAE,R2,train_time,params,Score
sensor_2,Persistence,0.8761238819759315,0.7069560170179106,-0.8700717039032151,0.0,0,0.1009
sensor_2,Mean Predictor,2.1532792199281854,2.055760094831659,-10.296084175095373,0.0,0,0.7
sensor_2,XGBoost,1.1760729002387313,1.0191695564573393,-2.369734675974116,50.57008793199998,300,0.4426
sensor_2,LSTM,0.6609335253910691,0.5287540058755714,-0.06424785812364164,18.62240407199988,32417,0.1736
sensor_3,Persistence,0.9281926458552072,0.7495730226646958,-0.6889282717414484,0.0,0,0.1073
sensor_3,Mean Predictor,2.149780801874791,2.027895938879413,-8.059898239400376,0.0,0,0.7
sensor_3,XGBoost,1.1805045851893736,1.0096700329961754,-1.7319347088903974,47.37349228300002,300,0.4305
sensor_3,TCN,0.7070774117311921,0.5674464075252761,0.019903391587142383,17.606427719000067,39681,0.1743
sensor_4,Persistence,0.6459380354216294,0.5126830042236366,-0.43376749880925636,0.0,0,0.0058
sensor_4,Mean Predictor,2.3707536638092797,2.3085636738916278,-18.313895426005896,0.0,0,0.7
sensor_4,XGBoost,1.049163666945456,0.9225888256457343,-2.782539740159276,47.05409357099995,300,0.3691
sensor_4,LSTM,0.6314086773149377,0.5170329232888868,-0.36999223885847776,15.033688286000142,32417,0.1639
sensor_7,Persistence,0.6617041172143071,0.5153019829941939,-0.29535702505500616,0.0,0,0.028
sensor_7,Mean Predictor,2.2676213746106817,2.191823435871664,-14.212580695115804,0.0,0,0.7
sensor_7,XGBoost,1.0168309484543059,0.885256063461356,-2.058858046434719,46.714288594000095,300,0.3774
sensor_7,TCN,0.5947755763335457,0.4792767769445285,-0.04656947572240555,18.042174552999995,39681,0.1772
sensor_9,Persistence,0.26440265727547946,0.21426316685846938,0.9841710329817404,0.0,0,0.0
sensor_9,Mean Predictor,2.752470111452886,2.039695762557042,-0.7154030052762341,0.0,0,0.7
sensor_9,XGBoost,1.4287773167932547,0.8235021185171744,0.537778612797973,47.798638943000014,200,0.5281
sensor_9,TCN,0.27293006766203537,0.21844379472583914,0.9831335490044333,21.82524916500006,39681,0.1937
sensor_11,Persistence,0.5741495243542285,0.4604630857283799,-0.34735906621418033,0.0,0,0.0
sensor_11,Mean Predictor,2.389511605048263,2.337756109433736,-22.337354238887706,0.0,0,0.7
sensor_11,XGBoost,1.0797804325685678,0.9740884768968687,-3.7654535024101348,47.483792556000026,300,0.3959
sensor_11,LSTM,0.61601696839667,0.5068199850566933,-0.5510245804230838,15.429226692999919,32417,0.1811
sensor_12,Persistence,0.5847941172719396,0.4705169024967653,-0.07013060688873884,0.0,0,0.0109
sensor_12,Mean Predictor,2.3011552697933406,2.230637402043241,-15.570005106041211,0.0,0,0.7
sensor_12,XGBoost,0.8344928378450782,0.7064030921598845,-1.1790942885982996,47.68988442299997,200,0.3116
sensor_12,TCN,0.5576967372681656,0.44598547033756764,0.026744195407720772,18.802308767000113,39681,0.1789
sensor_13,Persistence,0.664651333721338,0.48859853774781775,0.4658779285720175,0.0,0,0.0
sensor_13,Mean Predictor,2.021236380622834,1.8080179200911735,-3.9395453455491296,0.0,0,0.7
sensor_13,XGBoost,0.9500655959516345,0.722051746758654,-0.09133968162353745,48.68218639099996,300,0.348
sensor_13,TCN,0.7890668603209073,0.5152746443714684,0.24719868071966222,17.725301416999855,39681,0.237
sensor_14,Persistence,0.2373703593006951,0.19129582416806457,0.9881487163917237,0.0,0,0.0
sensor_14,Mean Predictor,2.6587442582584684,1.9686673777389896,-0.4868444869560782,0.0,0,0.7
sensor_14,XGBoost,1.3735001565011513,0.7782344515220017,0.6032016630232772,48.04319221800006,200,0.529
sensor_14,TCN,0.3008133252820862,0.24443254944084788,0.9809670302283553,27.016040564999912,39681,0.2308
sensor_15,Persistence,0.7515827623622221,0.5914447196417453,-0.6858220381958575,0.0,0,0.0655
sensor_15,Mean Predictor,2.2697501449251316,2.1946960659017223,-14.374967627615675,0.0,0,0.7
sensor_15,XGBoost,1.0687226888493482,0.9353617879732522,-2.408695160639963,47.94743769399997,300,0.3988
sensor_15,TCN,0.5948393896224943,0.47444344378549363,-0.05598450022937129,17.817575261,39681,0.1743
sensor_17,Persistence,0.8287460879365883,0.6381297767181585,-0.5414830858595423,0.0,0,0.0252
sensor_17,Mean Predictor,2.2037203729410164,2.1001965407279455,-9.899554676651922,0.0,0,0.7
sensor_17,XGBoost,1.1853902249707975,1.0263771530901793,-2.153686102380618,47.72803611099994,300,0.401
sensor_17,TCN,0.7773579317074956,0.6199562097767052,-0.3562440611113702,18.033428126000217,39681,0.1756
sensor_20,Persistence,0.8101426299071663,0.6522415048147587,-0.7255332114261568,0.0,0,0.0428
sensor_20,Mean Predictor,2.227184803340307,2.1400906373123223,-12.041059036545542,0.0,0,0.7
sensor_20,XGBoost,1.1343199538254545,0.9880822285910239,-2.382762405024558,46.667684291999876,300,0.3943
sensor_20,GRU,0.717964005524164,0.5822984150536954,-0.35520718441606913,17.076816739999913,24609,0.1732
sensor_21,Persistence,0.7996006659828584,0.6425699586656872,-0.730391461777566,0.0,0,0.085
sensor_21,Mean Predictor,2.2313758192949753,2.146985955234563,-12.475457357831907,0.0,0,0.7
sensor_21,XGBoost,1.1435545667548133,0.9976348867163639,-2.5392550004258654,47.36781917999997,300,0.4335
sensor_21,TCN,0.6015821557891218,0.47926668201223377,0.02053716756411228,17.76285462700025,39681,0.175
